Charge,Address,City,District
Larceny,100 block Fairway Cir,Baldwinsville,Onondaga County
Larceny,200 block Roycroft Rd,DeWitt,DeWitt
Larceny,3600 block Erie Blvd E,DeWitt,DeWitt
Larceny,4200 block James St,East Syracuse,DeWitt
Larceny,6400 block Fremont Rd,East Syracuse,Manlius
Larceny,8700 block Dell Center Dr,Liverpool,Onondaga County
Larceny,4500 block Pewter Ln,Manlius,Manlius
Larceny,4700 block Onondaga Blvd,Syracuse,Syracuse
Larceny,9500 block Destiny Usa Dr,Syracuse,Syracuse
Larceny,0 block Destiny Usa Dr,Syracuse,Syracuse
Larceny,100 block Bonnie Dr,Syracuse,Geddes
Larceny,4700 block Onondaga Blvd,Syracuse,Syracuse
Larceny,100 block Richmond Av,Syracuse,Syracuse
Larceny,500 block Butternut St,Syracuse,Syracuse
Larceny,500 block Orwood Pl,Syracuse,Onondaga County
Larceny,3400 block W Genesee St,Syracuse,Geddes
Larceny,1700 block S State St,Syracuse,Syracuse
Larceny,500 block Hiawatha Blvd W,Syracuse,Syracuse
Larceny,1400 block W Genesee St,Syracuse,Syracuse
Larceny,300 block Hawley Av,Syracuse,Syracuse
Robbery,7300 block Cedar Post Rd,Liverpool,Onondaga County
Robbery,600 block W Onondaga St,Syracuse,Syracuse
Vehicle theft,1400 block W Genesee St,Syracuse,Syracuse
Vehicle theft,100 block Oak St,Syracuse,Syracuse
Vehicle theft,500 block W Brighton Av,Syracuse,Syracuse
Vehicle theft,900 block Pond St,Syracuse,Syracuse
Aggravated assault,200 block Sabine St,Syracuse,Syracuse
Aggravated assault,0 block Valley Dr,Syracuse,Syracuse
Aggravated assault,1200 block Oak St,Syracuse,Syracuse
Burglary,600 block N Salina St,Syracuse,Syracuse
Larceny,100 block Village Blvd S,Baldwinsville,Onondaga County
Larceny,4200 block Route 31,Clay,Onondaga County
Larceny,200 block W Yates St,East Syracuse,East Syracuse
Larceny,2500 block Rt 11,Lafayette,Onondaga County
Larceny,7400 block Oswego Rd,Liverpool,Onondaga County
Larceny,200 block N Main St,North Syracuse,North Syracuse
Larceny,0 block Destiny Usa Dr,Syracuse,Syracuse
Larceny,500 block Fabius St,Syracuse,Syracuse
Larceny,0 block Destiny Usa Dr,Syracuse,Syracuse
Larceny,3300 block W Genesee St,Syracuse,Geddes
Larceny,100 block S Clinton St,Syracuse,Syracuse
Larceny,4100 block S Salina St,Syracuse,Syracuse
Larceny,100 block Holland St,Syracuse,Syracuse
Larceny,1000 block Butternut St,Syracuse,Syracuse
Larceny,0 block Destiny Usa Dr,Syracuse,Syracuse
Larceny,100 block Dale St,Syracuse,Syracuse
Larceny,4800 block S Salina St,Syracuse,Syracuse
Vehicle theft,700 block Burnet Av,Syracuse,Syracuse
Vehicle theft,100 block Oak St,Syracuse,Syracuse
Vehicle theft,1800 block Grant Blvd,Syracuse,Syracuse
Aggravated assault,1000 block Park St,Syracuse,Syracuse
Burglary,6400 block Basile Rowe,East Syracuse,East Syracuse
Larceny,100 block Oswego St,Baldwinsville,Baldwinsville
Larceny,400 block Village Blvd N,Baldwinsville,Onondaga County
Larceny,0 block Canterbury Rd,Baldwinsville,Baldwinsville
Larceny,7900 block Brewerton Rd,Cicero,Cicero
Larceny,8100 block Eileen Av,Cicero,Cicero
Larceny,5800 block Bridge St,East Syracuse,DeWitt
Larceny,300 block Towne Dr,Fayetteville,Manlius
Larceny,6700 block E Genesee St,Fayetteville,DeWitt
Larceny,3800 block Route 31,Liverpool,Onondaga County
Larceny,200 block Millen Dr,N Syracuse,North Syracuse
Larceny,9600 block Destiny Usa Dr,Syracuse,Syracuse
Larceny,0 block Destiny Usa Dr,Syracuse,Syracuse
Larceny,1200 block Highland St,Syracuse,Syracuse
Larceny,0 block Destiny Usa Dr,Syracuse,Syracuse
Larceny,100 block Rockland Av,Syracuse,Syracuse
Larceny,100 block Stolp Av,Syracuse,Syracuse
Robbery,100 block Jasper St,Syracuse,Syracuse
Vehicle theft,4300 block Arlington Cir,Liverpool,Onondaga County
Vehicle theft,100 block Schiller Av,Syracuse,Syracuse
Vehicle theft,300 block Lodi St,Syracuse,Syracuse
Burglary,3400 block Route 31,Baldwinsville,Onondaga County
Burglary,600 block N Salina St,Syracuse,Syracuse
Burglary,300 block N Midler Av,Syracuse,Syracuse
Larceny,5500 block Ike Dixon Rd,Camillus,Camillus
Larceny,5900 block State Route 31,Cicero,Cicero
Larceny,3400 block Erie Blvd E,DeWitt,DeWitt
Larceny,6400 block Fremont Rd,East Syracuse,Manlius
Larceny,8400 block Oswego Rd,Liverpool,Onondaga County
Larceny,900 block James St,Syracuse,Syracuse
Larceny,500 block W Onondaga St,Syracuse,Syracuse
Larceny,900 block N Alvord St,Syracuse,Syracuse
