House Price,Square Feet,Lot Size,Bedrooms,Bathrooms,Garage,Year Built,Elementary School Score,Middle School Score,High School Score,Walk Score,Property Taxes,Highway,Restaurant,Park,Shopping Mall,Street Address of House,Zip Code
78551,1400,9801,3,1,No,2006,2,1,1,75,795,No,13,4,2,609 Marcellus St,13204
228341,1544,3267,4,1,No,1980,2,1,1,55,26,Yes,8,15,2,124 Plum Street,13204
113589,2450,8316,5,3,No,1880,2,1,1,75,972,No,16,4,2.1,616 Otisco St,13204
70839,1008,9215,3,1,Yes,1950,1,1,3,37,2037,Yes,33,32,6,217 Thurber St,13210
90932,1284,8913,4,2.5,No,1957,1,1,3,28,1590,Yes,33,14,2.2,108 Stevens Pl,13210
58650,1292,3960,5,1,Yes,1880,2,1,1,70,152,No,15,5,2,307 Ontatio St,13204
84095,1228,6000,3,1.5,Yes,1880,1,1,3,28,1082,Yes,26,31,2.3,109 Thurber St,13210
77176,2144,3920,4,2,No,1860,1,2,1,64,445,Yes,16,10,1.4,550 Park Ave,13204
47500,2376,2841,6,1,No,1900,1,3,2,86,1461,No,8,26,2.2,702 Catherine St,13203
135661,3330,3920,9,3,No,1920,1,2,1,64,1926,Yes,64,4,1.3,544 Park Ave,13204
95982,2434,8160,4,2,No,1900,1,2,2,64,1443,Yes,15,4,1.4,536 Park Ave,13204
91419,2088,7304,4,1.5,Yes,1920,1,3,2,82,1730,No,8,5,0.2,706 McBride St,13203
67438,1891,2706,3,1.5,No,1900,1,3,2,83,848,No,6,4,1.7,602 Hickory St,13203
86828,1692,7166,3,2,Yes,1950,2,2,3,51,1193,No,23,29,2.7,154 Ridgeway Avenue,13224
85676,2348,8712,4,2,No,1920,2,3,2,43,1175,No,3,32,1.7,215 East Glen Avenue,13205
48022,1420,4059,4,1,No,1900,2,4,1,62,821,No,5,9,2.8,321 Rich Street,13207
48650,1222,6696,3,1,Yes,1930,4,1,2,41,1629,No,35,6,3.4,137 Temple Place,13207
89748,1344,6534,3,2,No,1935,2,3,2,34,1424,No,16,8,0.9,160 Brampton Road,13205
46154,1019,2090,3,1,No,1979,1,3,2,71,804,No,16,7,2.4,212 Graves Street,13203
